Acheson & Glover Precast Ltd,06/11/2015,BT75,Solid Biomass Boiler,99,"£27,600.66"
Acheson & Glover Precast Ltd,06/11/2015,BT75,Solid Biomass Boiler,99,"£30,507.19"
Acheson & Glover Precast Ltd,06/11/2015,BT75,Solid Biomass Boiler,99,"£34,416.23"
Acheson & Glover Precast Ltd,13/07/2015,BT75,Solid Biomass Boiler,99,"£50,543.44"
Acheson & Glover Precast Ltd,13/07/2015,BT75,Solid Biomass Boiler,99,"£52,297.88"
Acheson & Glover Precast Ltd,13/07/2015,BT75,Solid Biomass Boiler,99,"£53,369.70"
Acheson & Glover Precast Ltd,13/07/2015,BT75,Solid Biomass Boiler,99,"£53,475.84"
ACL Developments Ltd,06/11/2015,BT80,Solid Biomass Boiler,43,"£7,209.13"
Agricultural and Industrial Services 2012 Limited,09/11/2015,BT62,Solid Biomass Boiler,99,"£21,627.16"
Alexander Scott & Son Ltd,31/07/2015,BT46,Solid Biomass Boiler,99,"£9,504.53"
All Spares ATVs Ltd,15/10/2014,BT70,Solid Biomass Boiler,99,"£46,174.37"
All Spares ATVs Ltd,30/09/2015,BT70,Solid Biomass Boiler,99,"£28,484.74"
Alternative Heat Ltd,23/01/2013,BT31,Solid Biomass Boiler,75,"£6,995.34"
Alternative Heat Ltd,10/02/2016,BT31,Solid Biomass Boiler,199,"£7,099.18"
Alternative Heat Ltd,10/06/2015,BT31,Solid Biomass Boiler,99,"£14,937.99"
Altmor Limited T/A Valleyview Enterprises - Pig Unit,14/10/2015,BT81,Solid Biomass Boiler,95,"£30,440.15"
Altmore Farm Ltd,20/10/2015,BT70,Solid Biomass Boiler,99,"£45,866.87"
Altmore Farm Ltd,20/10/2015,BT70,Solid Biomass Boiler,99,"£44,786.34"
Altmore Farm Ltd,20/10/2015,BT70,Solid Biomass Boiler,99,"£43,032.60"
An Charraig Mhor GFC,27/10/2015,BT79,Solid Biomass Boiler,99,"£14,880.24"
Annagarvey Holdings Ltd,09/06/2015,BT77,Solid Biomass Boiler,65,"£8,333.41"
Antrim Estates Company,10/02/2016,BT44,Solid Biomass Boiler,195,"£11,958.15"
ARC Healthy Living Centre Ltd,02/07/2015,BT94,Solid Biomass Boiler,99,"£15,421.47"
Armagh Business Park Ltd,17/10/2015,BT60,Solid Biomass Boiler,99,"£30,909.58"
Armagh Cider Company Ltd,16/11/2015,BT62,Solid Biomass Boiler,99,"£9,826.61"
Armagh Cider Company Ltd,16/11/2015,BT62,Solid Biomass Boiler,99,"£17,365.98"
Augher Castle Limited,12/10/2015,BT77,Solid Biomass Boiler,99,"£15,097.56"
AWF Poultry Ltd,08/11/2015,BT78,Solid Biomass Boiler,99,"£16,194.13"
AWF Poultry Ltd,08/11/2015,BT78,Solid Biomass Boiler,99,"£17,084.47"
B P Mc Keefry Ltd,05/04/2014,BT46,Solid Biomass Boiler,99,"£34,067.13"
B.McCaffrey & Sons Ltd,10/10/2015,BT92,Solid Biomass Boiler,99,"£39,346.99"
Balcas Timber Ltd,02/11/2015,BT94,Solid Biomass Boiler,95,"£15,278.08"
Balcas Timber Ltd,27/02/2016,BT94,Solid Biomass Boiler,49,"£2,235.47"
Ballindarragh Poultry Farm Ltd,02/11/2014,BT60,Solid Biomass Boiler,99,"£55,137.33"
Ballindarragh Poultry Farm Ltd,02/11/2014,BT60,Solid Biomass Boiler,99,"£69,101.15"
Ballindarragh Poultry Farm Ltd,02/11/2014,BT60,Solid Biomass Boiler,99,"£73,523.77"
Ballindarragh Poultry Farm Ltd,02/11/2014,BT60,Solid Biomass Boiler,99,"£75,578.94"
Ballindarragh Poultry Farm Ltd,02/11/2014,BT60,Solid Biomass Boiler,99,"£76,055.34"
Ballindarragh Poultry Farm Ltd,02/11/2014,BT60,Solid Biomass Boiler,99,"£82,886.35"
Ballinderry Parish Church Hall,27/10/2015,BT28,Solid Biomass Boiler,40,"£7,128.37"
Ballyards Charitable Trust Ltd,14/07/2015,BT60,Solid Biomass Boiler,99,"£31,483.97"
Ballybrocky Poultry Farms Ltd,30/06/2015,BT61,Solid Biomass Boiler,99,"£40,249.13"
Ballybrocky Poultry Farms Ltd,30/06/2015,BT61,Solid Biomass Boiler,99,"£50,756.34"
Ballybrocky Poultry Farms Ltd,03/09/2015,BT61,Solid Biomass Boiler,99,"£39,211.95"
Ballybrocky Poultry Farms Ltd,03/09/2015,BT61,Solid Biomass Boiler,99,"£35,220.02"
,,,,,
Ballybrocky Poultry Farms Ltd,03/09/2015,BT61,Solid Biomass Boiler,99,"£32,711.03"
Ballybrocky Poultry Farms Ltd,03/09/2015,BT61,Solid Biomass Boiler,99,"£37,538.83"
Ballybrocky Poultry Farms Ltd,07/09/2015,BT61,Solid Biomass Boiler,99,"£35,887.69"
Ballybrocky Poultry Farms Ltd,07/09/2015,BT61,Solid Biomass Boiler,99,"£36,687.46"
Ballybrocky Poultry Farms Ltd,07/09/2015,BT61,Solid Biomass Boiler,99,"£38,370.56"
Ballycastle Homecare Ltd,03/11/2015,BT54,Solid Biomass Boiler,45,"£6,000.32"
Ballycastle Homecare Ltd,03/04/2013,BT54,Solid Biomass Boiler,99,"£26,159.07"
Ballyclare Golf Club,16/12/2013,BT39,Solid Biomass Boiler,97,"£58,093.46"
Ballyholland Development Association,20/10/2015,BT34,Solid Biomass Boiler,99,"£10,212.90"
Ballynakilly Ltd,10/05/2015,BT80,Solid Biomass Boiler,99,"£30,924.07"
Ballynakilly Ltd,10/05/2015,BT80,Solid Biomass Boiler,99,"£31,193.74"
Ballynakilly Ltd,10/05/2015,BT80,Solid Biomass Boiler,99,"£37,093.07"
Ballynakilly Ltd,18/03/2014,BT80,Solid Biomass Boiler,99,"£47,504.70"
Ballynakilly Ltd,21/06/2013,BT80,Solid Biomass Boiler,99,"£63,670.52"
Ballyrobert Service Station Ltd,11/12/2014,BT19,Solid Biomass Boiler,99,"£44,934.83"
Bangor Golf Club,11/11/2014,BT20,Solid Biomass Boiler,99,"£38,372.56"
Baronagh Ltd,10/11/2015,BT78,Solid Biomass Boiler,99,"£28,501.08"
Baronagh Ltd,10/11/2015,BT78,Solid Biomass Boiler,99,"£25,322.00"
Baronscourt Energy Ltd,07/11/2015,BT78,Solid Biomass Boiler,99,"£14,198.85"
Baronscourt Energy Ltd,09/02/2016,BT78,Solid Biomass Boiler,150,"£15,788.12"
Basil Knipe Electrics Ltd,30/06/2015,BT53,Solid Biomass Boiler,99,"£19,132.10"
B-Cam Poultry Ltd.,24/02/2016,BT79,Solid Biomass Boiler,199,"£8,806.74"
Bedeck Ltd,26/06/2015,BT67,Solid Biomass Boiler,99,"£29,068.25"
Bedeck Ltd,26/06/2015,BT67,Solid Biomass Boiler,99,"£31,350.46"
Bedeck Ltd,26/06/2015,BT67,Solid Biomass Boiler,99,"£27,988.36"
Bedeck Ltd,26/06/2015,BT67,Solid Biomass Boiler,99,"£11,947.14"
Bee Bee Farms Ltd,17/11/2015,BT63,Solid Biomass Boiler,99,"£23,167.58"
Beechvale Nursing Home Ltd,26/03/2015,BT23,Solid Biomass Boiler,99,"£42,898.66"
Beggs and Partners Ballymena,14/02/2014,BT42,Solid Biomass Boiler,60,"£20,058.97"
Belfast Health & Social Care Trust,10/06/2015,BT09,Solid Biomass Boiler,99,"£47,997.81"
Belfast Indoor Bowls Club,20/08/2014,BT08,Solid Biomass Boiler,99,"£28,374.60"
BF Mulholland Ltd,08/09/2015,BT29,Solid Biomass Boiler,99,"£14,759.93"
Blakely McCartney Ltd,19/12/2014,BT74,Solid Biomass Boiler,99,"£26,127.86"
BMS Technology Ltd,05/01/2015,BT25,Solid Biomass Boiler,35,"£15,329.98"
Bondelivery NI Ltd,14/01/2015,BT29,Solid Biomass Boiler,99,"£28,208.30"
Bondelivery NI Ltd,14/01/2015,BT29,Solid Biomass Boiler,99,"£29,111.30"
Bondelivery NI Ltd,14/01/2015,BT29,Solid Biomass Boiler,99,"£53,967.56"
Bondelivery NI Ltd,14/01/2015,BT29,Solid Biomass Boiler,99,"£25,194.68"
BP Mc Keefry Ltd,26/10/2015,BT46,Solid Biomass Boiler,99,"£19,386.06"
BP McKeefry Developments Ltd,10/04/2015,BT46,Solid Biomass Boiler,99,"£45,278.75"
BP McKeefry Developments Ltd,26/10/2015,BT46,Solid Biomass Boiler,99,"£27,458.36"
Brantry Church,05/08/2015,BT70,Solid Biomass Boiler,80,"£15,291.60"
Bridge Mushrooms Ltd,29/02/2016,BT34,Solid Biomass Boiler,560,"£8,683.58"
Bridge Mushrooms Ltd,20/06/2013,BT34,Solid Biomass Boiler,99,"£56,751.14"
Bridge Mushrooms Ltd,20/06/2013,BT34,Solid Biomass Boiler,99,"£70,487.92"
Bridge Mushrooms Ltd,01/09/2013,BT34,Solid Biomass Boiler,99,"£85,823.50"
Brooklands Healthcare Ltd,26/02/2014,BT45,Solid Biomass Boiler,99,"£49,703.80"
Brooklands Healthcare Ltd,09/05/2014,BT45,Solid Biomass Boiler,99,"£53,177.76"
,,,,,
Broughshane Medical Practice,18/03/2015,BT42,Solid Biomass Boiler,99,"£6,630.37"
BS Holdings Ltd,26/11/2013,BT04,Solid Biomass Boiler,56,"£18,844.63"
BSD Training Ltd,01/11/2015,BT27,Solid Biomass Boiler,99,"£21,059.85"
Burrendale Hotel Ltd,31/10/2015,BT33,Solid Biomass Boiler,99,"£27,929.05"
Burrendale Hotel Ltd,31/10/2015,BT33,Solid Biomass Boiler,99,"£38,967.35"
Burrendale Hotel Ltd,31/10/2015,BT33,Solid Biomass Boiler,99,"£30,416.48"
Burrendale Hotel Ltd,31/10/2015,BT33,Solid Biomass Boiler,99,"£36,948.46"
Button Farm Mushrooms Ltd,02/06/2015,BT60,Solid Biomass Boiler,99,"£48,074.96"
C&L Mushrooms Ltd,06/01/2015,BT34,Solid Biomass Boiler,99,"£59,423.08"
C&L Mushrooms Ltd,30/05/2013,BT34,Solid Biomass Boiler,99,"£84,285.55"
C&L Mushrooms Ltd,02/09/2013,BT34,Solid Biomass Boiler,99,"£93,080.70"
C&L Mushrooms Ltd,29/02/2016,BT34,Solid Biomass Boiler,560,"£4,670.33"
Cabragh House Farm ltd,14/05/2015,BT61,Solid Biomass Boiler,99,"£52,265.70"
Cabragh House Farm ltd,14/05/2015,BT61,Solid Biomass Boiler,99,"£53,765.07"
Cabragh House Farm ltd,14/05/2015,BT61,Solid Biomass Boiler,99,"£51,638.53"
Cabragh House Farm ltd,14/05/2015,BT61,Solid Biomass Boiler,99,"£55,475.74"
Caldwell Steel Ltd,05/11/2015,BT81,Solid Biomass Boiler,99,"£15,049.94"
Caledon Estate Company,15/10/2015,BT68,Solid Biomass Boiler,99,"£37,363.29"
Camphill Community Clanabogan,08/11/2015,BT78,Solid Biomass Boiler,99,"£15,408.47"
Camphill Community Mourne Grange,05/08/2015,BT34,Solid Biomass Boiler,99,"£25,231.21"
Cap Farms Ltd,14/04/2015,BT71,Solid Biomass Boiler,99,"£64,290.15"
Cap Farms Ltd,14/04/2015,BT71,Solid Biomass Boiler,99,"£60,549.56"
Capper Trading Ltd,16/01/2015,BT71,Solid Biomass Boiler,99,"£37,295.28"
Capper Trading Ltd,16/01/2015,BT71,Solid Biomass Boiler,99,"£42,753.38"
Cardwell Brothers Engineering Ltd,30/10/2015,BT80,Solid Biomass Boiler,99,"£34,181.14"
Cardwell Brothers Engineering Ltd,04/11/2015,BT80,Solid Biomass Boiler,99,"£44,012.45"
Cardwell Brothers Engineering Ltd,07/11/2015,BT80,Solid Biomass Boiler,60,"£15,282.64"
Carella Laminate Systems Ltd,29/02/2016,BT47,Solid Biomass Boiler,160,"£6,908.97"
Carrickcloughan Farming Ltd,23/02/2016,BT35,Solid Biomass Boiler,199,"£12,002.50"
Cash Hill Farm Ltd,24/02/2016,BT94,Solid Biomass Boiler,198,"£5,561.82"
Catmar Holdings Ltd T/A Eddie's Crossroads Bar,27/10/2015,BT79,Solid Biomass Boiler,40,"£7,215.01"
Charles Hurst Ltd,07/08/2015,BT12,Solid Biomass Boiler,97,"£5,049.63"
Charles Hurst Ltd,26/10/2015,BT12,Solid Biomass Boiler,79,"£11,593.21"
Charles Hurst Ltd,22/10/2015,BT12,Solid Biomass Boiler,90,"£13,751.49"
Charles Hurst Ltd,20/01/2015,BT12,Solid Biomass Boiler,97,"£14,107.91"
Charles Hurst Ltd,21/10/2015,BT12,Solid Biomass Boiler,97,"£16,339.17"
Charles Hurst Ltd,02/04/2015,BT12,Solid Biomass Boiler,97,"£25,493.01"
Charles Hurst Ltd,09/02/2015,BT12,Solid Biomass Boiler,97,"£27,719.38"
Charles Hurst Ltd,07/02/2014,BT12,Solid Biomass Boiler,97,"£36,703.10"
Charles Hurst Ltd,15/03/2013,BT12,Solid Biomass Boiler,94,"£37,234.47"
Charles Hurst Ltd,03/07/2013,BT12,Solid Biomass Boiler,97,"£69,136.30"
CHP Mechanical Services Ltd,27/08/2014,BT33,Solid Biomass Boiler,25,"£9,011.06"
CHP Mechanical Services Ltd,22/09/2015,BT33,Solid Biomass Boiler,99,"£11,990.62"
Christian Family Centre NI Ltd.,26/05/2015,BT53,Solid Biomass Boiler,99,"£31,014.84"
Cirrus Property Developments Ltd,09/11/2015,BT71,Solid Biomass Boiler,80,"£7,657.13"
Clandeboye Golf Club,27/08/2014,BT23,Solid Biomass Boiler,99,"£18,845.09"
Clandeboye Golf Club,21/07/2015,BT23,Solid Biomass Boiler,80,"£30,772.07"
Classic Marble Ltd,22/01/2015,BT70,Solid Biomass Boiler,99,"£39,094.30"
,,,,,
Clinty Chemicals Limited,27/10/2014,BT43,Solid Biomass Boiler,99,"£62,572.80"
Cloncraig Electrical Ltd T/A JR Lighting,12/10/2015,BT34,Solid Biomass Boiler,90,"£15,893.35"
Cloughbane Farm Foods Ltd,29/02/2016,BT70,Solid Biomass Boiler,99,"£5,123.75"
CM Skips Limited,07/10/2015,BT41,Solid Biomass Boiler,99,"£42,022.36"
CMG Energy Services Ltd,23/10/2013,BT80,Solid Biomass Boiler,16,"£17,292.85"
CMG Energy Services Ltd,05/07/2015,BT80,Solid Biomass Boiler,59,"£29,943.67"
CMG Energy Services Ltd,01/09/2015,BT71,Solid Biomass Boiler,45,"£10,194.14"
CMG Energy Services Ltd,08/11/2015,BT80,Solid Biomass Boiler,99,"£19,355.33"
CMG Energy Services Ltd,10/11/2015,BT80,Solid Biomass Boiler,32,"£6,151.96"
CMG Energy Services Ltd,27/02/2016,BT80,Solid Biomass Boiler,198,"£9,048.47"
Colloide Engineering Systems Ltd,28/10/2015,BT80,Solid Biomass Boiler,49,"£5,438.71"
Copper Industries (Ireland) Ltd,07/11/2015,BT41,Solid Biomass Boiler,99,"£27,369.46"
Corbally Poultry Farm Ltd,28/02/2016,BT32,Solid Biomass Boiler,50,"£3,282.90"
Corbally Poultry Farm Ltd,07/06/2015,BT32,Solid Biomass Boiler,99,"£44,191.43"
Corbally Poultry Farm Ltd,08/06/2015,BT32,Solid Biomass Boiler,99,"£44,852.18"
Corbally Poultry Farm Ltd,28/02/2016,BT32,Solid Biomass Boiler,199,"£6,845.75"
Corbally Poultry Farm Ltd,28/02/2016,BT32,Solid Biomass Boiler,199,"£6,052.67"
Corby Biomass Systems Ltd,31/10/2015,BT74,Solid Biomass Boiler,99,"£21,188.61"
Corby Biomass Systems Ltd,31/10/2015,BT74,Solid Biomass Boiler,99,"£21,322.14"
Corby Biomass Systems Ltd,31/10/2015,BT74,Solid Biomass Boiler,99,"£20,940.45"
Corby Biomass Systems Ltd,31/10/2015,BT74,Solid Biomass Boiler,99,"£19,929.46"
Corby Biomass Systems Ltd,31/10/2015,BT74,Solid Biomass Boiler,99,"£20,986.53"
Corby Biomass Systems Ltd,31/10/2015,BT74,Solid Biomass Boiler,99,"£22,485.56"
Corby Biomass Systems Ltd,31/10/2015,BT74,Solid Biomass Boiler,99,"£22,583.45"
Corby Biomass Systems Ltd,31/10/2015,BT74,Solid Biomass Boiler,99,"£23,543.92"
Corkhill Care Centre,03/11/2015,BT70,Solid Biomass Boiler,99,"£15,482.79"
Corliss Eco Fuels Ltd,12/10/2015,BT35,Solid Biomass Boiler,75,"£33,135.71"
Cornamaddy Farms Ltd,15/10/2015,BT70,Solid Biomass Boiler,99,"£48,555.92"
Cornamaddy Farms Ltd,15/10/2015,BT70,Solid Biomass Boiler,99,"£48,701.94"
Cornamaddy Farms Ltd,15/10/2015,BT70,Solid Biomass Boiler,99,"£46,006.36"
Corrie's Meats Ltd,23/08/2013,BT22,Solid Biomass Boiler,60,"£24,745.29"
Corriewood Estates LLP,13/01/2015,BT31,Solid Biomass Boiler,99,"£41,327.82"
Corriewood Estates LLP,04/11/2015,BT31,Solid Biomass Boiler,99,"£25,085.35"
Courtyard Properties (NI) Ltd,28/08/2015,BT67,Solid Biomass Boiler,99,"£25,714.07"
Craigfad Farm Limited,23/02/2016,BT44,Solid Biomass Boiler,199,"£5,576.97"
Craigfad Farm Limited,23/02/2016,BT44,Solid Biomass Boiler,199,"£4,672.96"
Crann Energy Ltd,12/10/2015,BT92,Solid Biomass Boiler,99,"£65,453.82"
CRANN ENERGY LTD,27/02/2016,BT92,Solid Biomass Boiler,50,"£2,057.80"
Creative Gardens (NI) Ltd,15/02/2016,BT21,Solid Biomass Boiler,199,"£10,161.66"
Creative Gardens (NI) Ltd,17/02/2016,BT21,Solid Biomass Boiler,199,"£12,705.21"
Creative Logic Sol Limited,26/03/2015,BT51,Solid Biomass Boiler,31,"£7,722.66"
Creggan Country Park Enterprises Ltd,08/04/2015,BT48,Solid Biomass Boiler,60,"£12,016.75"
Creggan Farm Supplies Ltd,16/10/2015,BT35,Solid Biomass Boiler,75,"£39,863.20"
Creggan Farm Supplies Ltd,22/10/2015,BT35,Solid Biomass Boiler,75,"£40,710.90"
Cromer Enterprises Limited,29/10/2015,BT47,Solid Biomass Boiler,90,"£16,705.32"
Cross Concrete Flooring Ltd.,29/10/2015,BT47,Solid Biomass Boiler,95,"£9,527.16"
Cross Concrete Flooring Ltd.,29/10/2015,BT47,Solid Biomass Boiler,95,"£31,412.02"
Cross Concrete Flooring Ltd.,29/10/2015,BT47,Solid Biomass Boiler,95,"£32,057.21"
,,,,,
Cross Concrete Flooring Ltd.,29/10/2015,BT47,Solid Biomass Boiler,95,"£34,649.58"
Culmore Energy,10/11/2015,BT49,Solid Biomass Boiler,99,"£4,332.12"
Culmore Energy Ltd,09/11/2015,BT49,Solid Biomass Boiler,99,"£21,645.52"
Culmore Energy Ltd,10/11/2015,BT49,Solid Biomass Boiler,99,"£7,595.39"
Curtis Developments Ltd T/A Curtis Toyota,26/02/2016,BT42,Solid Biomass Boiler,198,"£5,170.90"
Cyreth Ltd T/A Strangford Arms Hotel,02/11/2015,BT51,Solid Biomass Boiler,99,"£29,810.41"
D Armstrong Electrical LLP,08/10/2015,BT71,Solid Biomass Boiler,99,"£40,126.83"
D&O Poultry Ltd.,24/02/2016,BT70,Solid Biomass Boiler,199,"£7,889.70"
D&R Moffett Ltd,04/03/2015,BT71,Solid Biomass Boiler,99,"£52,283.79"
D&R Moffett Ltd,04/03/2015,BT71,Solid Biomass Boiler,99,"£46,655.57"
D&R Moffett Ltd,04/03/2015,BT71,Solid Biomass Boiler,99,"£49,689.34"
Daly Poultry Ltd.,11/12/2015,BT71,Solid Biomass Boiler,999,"£15,795.00"
Dalys Carrickmore Ltd,31/08/2015,BT79,Solid Biomass Boiler,99,"£34,352.02"
Damiraco Ltd,21/01/2013,BT74,Solid Biomass Boiler,99,"£64,016.50"
Dawson Wam Limited,20/05/2014,BT24,Solid Biomass Boiler,97,"£26,419.08"
Dawson Wam Limited,10/09/2013,BT24,Solid Biomass Boiler,96,"£33,540.98"
Dennison Commercials Ltd,14/10/2015,BT39,Solid Biomass Boiler,99,"£33,748.74"
Dennison Commercials Ltd,14/10/2015,BT39,Solid Biomass Boiler,99,"£33,463.16"
Dennison Commercials Ltd,14/10/2015,BT39,Solid Biomass Boiler,99,"£34,196.83"
Dennison Commercials Ltd,14/10/2015,BT39,Solid Biomass Boiler,99,"£36,763.99"
Dennison Commercials Ltd,14/10/2015,BT39,Solid Biomass Boiler,99,"£31,206.66"
Dennison Commercials Ltd,14/10/2015,BT39,Solid Biomass Boiler,99,"£29,908.96"
Dennison Commercials Ltd,14/10/2015,BT39,Solid Biomass Boiler,99,"£17,190.86"
Dennison Commercials Ltd,14/10/2015,BT39,Solid Biomass Boiler,99,"£20,074.49"
Dennison Commercials Ltd,14/10/2015,BT39,Solid Biomass Boiler,99,"£16,599.40"
Dennison Commercials Ltd,14/10/2015,BT39,Solid Biomass Boiler,99,"£45,483.26"
Dennison Commercials Ltd,15/10/2015,BT39,Solid Biomass Boiler,99,"£45,098.37"
Department of Agriculture and Rural Affairs (Greenmount College),25/03/2015,BT04,Solid Biomass Boiler,60,"£4,895.07"
